

2020-09-01 14:37:13,333 NTX.MC 2.46
2020-09-01 14:37:14,797 BIO.MC 1.804
2020-09-01 14:37:16,218 BKY.MC 0.648
2020-09-01 14:38:06,492 PRO.MC 17.0
2020-09-01 14:38:07,911 FACE.MC 6.8
2020-09-01 14:38:08,551 GRN.MC 12.8
2020-09-01 14:38:09,158 XBRK.MC 3.5
2020-09-01 14:38:10,370 XELTO.MC 5.7
2020-09-01 14:38:11,028 BAIN.MC 2.9
2020-09-01 14:38:12,411 ADL.MC 0.83
2020-09-01 14:38:13,523 NTX.MC 2.46
2020-09-01 14:38:15,017 BIO.MC 1.804
2020-09-01 14:38:16,459 BKY.MC 0.647
2020-09-01 14:39:06,687 PRO.MC 17.0
2020-09-01 14:39:08,106 FACE.MC 6.8
2020-09-01 14:39:08,719 GRN.MC 12.8
2020-09-01 14:39:09,367 XBRK.MC 3.5
2020-09-01 14:39:10,528 XELTO.MC 5.7
2020-09-01 14:39:11,181 BAIN.MC 2.9
2020-09-01 14:39:12,591 ADL.MC 0.83
2020-09-01 14:39:13,697 NTX.MC 2.46
2020-09-01 14:39:15,258 BIO.MC 1.804
2020-09-01 14:39:16,698 BKY.MC 0.65
2020-09-01 14:40:06,869 PRO.MC 17.0
2020-09-01 14:40:08,338 FACE.MC 6.78
2020-09-01 14:40:08,902 GRN.MC 12.8
2020-09-01 14:40:09,493 XBRK.MC 3.5
2020-09-01 14:40:10,718 XELTO.MC 5.7
2020-09-01 14:40:11,319 BAIN.MC 2.9
2020-09-01 14:40:12,829 ADL.MC 0.83
2020-09-01 14:40:13,877 NTX.MC 2.46
2020-09-01 14:40:15,517 BIO.MC 1.8
2020-09-01 14:40:15,518 CompraBIO.MC 1.8
2020-09-01 14:40:15,519 Me queda: 1.0
2020-09-01 14:40:17,033 BKY.MC 0.651
2020-09-01 14:41:07,108 PRO.MC 17.0
2020-09-01 14:41:08,558 FACE.MC 6.78
2020-09-01 14:41:09,145 GRN.MC 12.8
2020-09-01 14:41:09,619 XBRK.MC 3.5
2020-09-01 14:41:10,882 XELTO.MC 5.7
